Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-10072.744893218307,3325.2141470978922,41.1,18.43474979488466,12.329999999999995,5.530424938465391,144.6,3.7202150475476548,2.993124372958056,0.6508290333999224
PID,-338.88105228924775,93.21383985328121,19.5,15.342750731208534,5.850000000000004,4.602825219362569,129.2,8.885943956609225,3.5399677505704217,0.5685037339590511
MPC,-809.9091802834023,168.47585818051851,19.7,9.584362263604188,5.910000000000004,2.8753086790812628,111.2,19.893717601293126,3.778744759890741,0.43356133486653864
