Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-11280.002801263658,4986.13366908338,33.9,21.510230124292026,10.169999999999995,6.453069037287599,136.4,17.967748885155313,3.413674009069345,0.7781202083234295
PID,-496.1679420906621,307.42553271817235,32.4,23.082244258303827,9.720000000000008,6.924673277491152,120.8,21.7476435505091,3.159622631301739,0.7901784200915355
MPC,-1225.195623296749,415.623284725721,52.55,19.414492009836366,15.765,5.8243476029508985,149.6,20.14050644844861,2.716221168110352,0.49462637044722957
DQN,-2327.9768378525996,2693.3213611440588,17.15,20.005061859439476,5.145000000000005,6.00151855783185,135.8,52.63420940795065,3.640563598136134,0.8029542870973843
PPO,-10572.435458017277,1695.482433786898,28.35,6.723280449304491,8.505,2.016984134791345,17.1,4.085339643163099,2.4687579736440353,0.4090728794945509
SAC,-54705.768451146825,31232.552304728004,0.0,0.0,0.0,0.0,174.9,25.89768329407092,3.5425351755912473,0.4331800542890766
