Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-5390.941401348106,876.6251676848386,33.9,21.510230124292026,10.169999999999995,6.453069037287599,136.4,17.967748885155313,3.413674009069345,0.7781202083234295
PID,-2915.9455115783235,798.5123888178913,32.4,23.082244258303827,9.720000000000008,6.924673277491152,120.8,21.7476435505091,3.159622631301739,0.7901784200915355
MPC,-3938.732699534145,576.8582530443047,52.55,19.414492009836366,15.765,5.8243476029508985,149.6,20.14050644844861,2.716221168110352,0.49462637044722957
DQN_v2,-4754.769426304766,1732.187144552176,12.45,14.112848755655254,3.7350000000000003,4.2338546266965755,171.8,29.219171788399482,3.691402510400381,0.7457089878506743
PPO_v2,-10621.508938689181,3353.368693526905,0.0,0.0,0.0,0.0,149.5,50.38700229225787,3.412303927125746,0.5272870305988303
SAC_v2,-10952.299012318133,3227.421479341426,0.0,0.0,0.0,0.0,174.9,25.89768329407092,3.5425351755912473,0.4331800542890766
