Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-12448.460350264635,4279.684075695342,28.5,13.714955340794953,8.549999999999997,4.1144866022384825,133.4,24.137936945812086,3.5480546734715346,0.5977591610847122
PID,-424.5981727035455,236.76233268408484,27.6,22.316809807855602,8.28000000000001,6.695042942356692,118.4,21.04851538707659,3.452128662459951,0.9366119333489847
MPC,-849.2412088601513,441.3066408590989,38.8,28.7968748304395,11.639999999999997,8.639062449131842,124.6,35.50549253284623,3.169300032278729,0.809291857720248
DQN,-47728.20819232335,28661.714856181985,0.0,0.0,0.0,0.0,117.4,45.2442261509687,3.3231757725362527,0.6288279610438159
