Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-3194.613140134811,1700.560384279118,33.9,21.510230124292026,10.169999999999995,6.453069037287599,136.4,17.967748885155313,3.413674009069345,0.7781202083234295
PID,-2852.212551157833,1897.4039209242933,32.4,23.082244258303827,9.720000000000008,6.924673277491152,120.8,21.7476435505091,3.159622631301739,0.7901784200915355
MPC,-4537.902269953416,1576.2783900366655,52.55,19.414492009836366,15.765,5.8243476029508985,149.6,20.14050644844861,2.716221168110352,0.49462637044722957
DQN_lit,-936.1423904845775,633.8389915525547,0.0,0.0,0.0,0.0,159.2,31.59050490258109,3.8362579902133738,0.6027997775795529
PPO_lit,-1422.150893868918,459.83670847813426,0.0,0.0,0.0,0.0,149.5,50.38700229225787,3.412303927125746,0.5272870305988303
SAC_lit,-1365.7680362289425,573.131341331125,0.0,0.0,0.0,0.0,174.9,25.89768329407092,3.5425351755912473,0.4331800542890766
