Controller,Mean Reward,Std Reward,Mean Energy (kWh),Std Energy,Mean Cost (€),Std Cost,Mean Violations,Std Violations,Mean COP,Std COP
OnOff,-5433.614228924362,688.0440831480978,32.25,16.86749833259218,9.674999999999997,5.060249499777649,136.0,12.36931687685298,3.3976841952036443,0.6496911842754496
PID,-3061.9708694480682,696.6130802112023,35.3,22.05583822936684,10.590000000000007,6.616751468810058,125.3,18.57444481000711,3.0317537486669326,0.7700417214408466
MPC,-4124.379864438781,1039.1235785716308,49.1,19.512560057562922,14.729999999999995,5.853768017268865,149.6,25.660085736411716,2.8677326041586326,0.6047846612030015
